lat,lon,addr:street,addr:housenumber,addr:postcode,addr:city
5811308.710178843,685985.832340005,,,,
5811456.451538468,686231.3935306929,,,,
5811591.630163262,686038.277505993,,,,
5811829.578701851,685321.5029824022,,,,
5810952.46410419,686321.1829053288,Chemin du Pré-de-l'Ours,4,,Genève
5811323.472774448,685936.2192042446,,,,
5810842.246266153,686260.3577266922,,,,
5812088.36979367,686183.3292376323,,,,
5811443.969629099,685765.2603068262,,,,
5811507.342215472,686156.7693657184,,,,
5812230.320413024,686159.49480046,,,,
5811359.574146174,686066.2337162722,,,,
5812082.227457091,684203.0860703548,,,,
5811498.0216029305,685852.6479043665,,,,
5810863.753425735,686430.4395442081,,,,
5810942.3303440865,686117.5361108087,Avenue Eugène-Pittard,22,,Genève
5811967.674828722,686264.3591335601,,,,
5811459.354627826,686521.7122395883,,,,
5812015.951217134,685112.1856423806,,,,
5811975.183248074,686428.6186424978,,,,
5810879.663317402,686106.6927514736,Avenue Eugène-Pittard,24,,Genève
5812223.302294541,683898.8270089654,,,,
5812318.672671323,686118.3190090677,,,,
5811640.49101188,685913.0971391031,,,,
5811062.046114942,686255.647830245,Rue Giovanni-Gambini,3,,Genève
5811790.002740443,684396.3545130248,,,,
5812211.938553547,683973.7815770254,,,,
5811926.394275388,684754.5495062672,,,,
5811867.446842,684698.5582165946,,,,
5811575.457456162,686478.0830628062,,,,
